"","City","Year","carbon.footprint","water.footprint","en.eff","en.gdp","water.eff","waste.ineff"
"59","Paris",2006,49997460383.3733,1409.7053,97.9007112723317,0.000140987928143628,NA,NA
"60","Paris",2011,51648912777.8154,5064193831.3206,132.812617132465,0.000111003145994943,92.9880840558423,6.62905500705219
"61","Rio de Janeiro",2001,13344641200.0107,4607992810.55788,122.834487346919,0.000288483333333333,45.9458282449046,NA
"62","Rio de Janeiro",2006,14404898077.7893,4746299821.54343,134.365000803743,0.000287709057971015,47.5108551931075,NA
"63","Rio de Janeiro",2011,14342735566.68,5027012820.85693,160.133229704473,0.000240690528905289,64.841003981122,29.4298921417565
"64","Sao Paulo",2001,21180230166.6836,5139517639.43532,123.490019508065,0.000263192681388013,56.5131781716993,NA
"65","Sao Paulo",2006,22174812997.24,5646554607.14249,125.19661965935,0.000179757325319309,54.8845296812931,NA
"66","Sao Paulo",2011,30427719272.2436,6115396037.2485,127.505206944832,0.000138828268210323,58.3374355797684,24.3704848206456
"67","Seoul",2001,NA,NA,NA,NA,NA,NA
"68","Seoul",2006,13638660197.0387,3619136234.93365,164.281170949737,0.000140020847683831,89.9056118539251,NA
"69","Seoul",2011,13499101246.2886,3466007942.04347,215.773428975106,0.000122064408557872,93.0879391419261,NA
"70","Shanghai",2001,65540039526.108,23615000943.5975,121.046617095533,0.00073609544924307,NA,NA
"71","Shanghai",2006,103868509006.79,34711601857.445,122.232572922739,0.000615034979342126,79.9746984903433,NA
"72","Shanghai",2011,113423853851.98,30063653212.1223,127.490595256747,0.000463605073118217,NA,12.7818387259966
"73","Shenzhen",2001,5743775061.00459,4877951134.57542,182.951399070574,0.000215969007939637,100,NA
"74","Shenzhen",2006,151490616.000121,6480999200,7976.49303281671,0.000105593996032541,100,NA
"75","Shenzhen",2011,7197859896.45019,7274085558.59849,298.161919021185,0.000130507422265906,100,3.92860484018398
"76","Tehran",2001,681383850.667212,1695409544.67191,100,4.22672420362966e-06,NA,NA
"77","Tehran",2006,12020345939.9263,1766837660.77596,185.256493223413,0.000221295631218206,NA,NA
"78","Tehran",2011,65055608063.8576,1945538031.55279,98.2463587350232,0.000770540990928997,NA,63.6363636363636
"79","Tokyo",2001,NA,NA,NA,NA,NA,NA
"80","Tokyo",2006,303761677.91691,NA,NA,NA,NA,NA
"81","Tokyo",2011,109778264959.671,8372886509.15678,150.801052616095,224782.70788183,NA,NA
