"","City","Year","en.out.in","en.out.gdp","en.out.pop","water.out.in","waste.out.in","resEff.gdp.res","envEff.gdp.waste","CF","CF.noCement","WF","bl.en.rad"
"69","Seoul",2011,1.6850718656405,2.40031388847254e-06,0.0774365011538855,0.960779353546523,Inf,Inf,127833874.949475,148235.8438146,148235.8438146,3466009041.17173,1.00936773733997
"70","Shanghai",2001,1.21046617095533,7.3609544924307e-06,0.0696603993214772,0,NA,Inf,Inf,235944.1422938,235944.1422938,23615000943.5975,0.150338238785328
"71","Shanghai",2006,1.22232572922739,6.15034979342126e-06,0.0945873326850329,0.85,Inf,Inf,93431487.7822456,373926.632424144,373926.632424144,34711601857.445,0.240325760158263
"72","Shanghai",2011,1.27490595256747,4.63605073118217e-06,0.0902618885944808,0,Inf,Inf,108318774.729819,433975.7658668,426202.1058668,30063653212.1223,0.274096920424277
"73","Shenzhen",2001,1.82951399070574,2.15969007939637e-06,0.022422508522296,0.896350940052799,Inf,Inf,19569899.8985434,20705.793269,20705.793269,4877951134.57542,0.0391496758466734
"74","Shenzhen",2006,79.7649303281671,1.05593996032541e-06,0.020134715876478,0.974627842148607,Inf,Inf,49895398.8756383,571.8891158,571.8891158,6480999200,0.0422646370215293
"75","Shenzhen",2011,2.98161919021185,1.30507422265906e-06,0.0341549553852915,0.974888605745375,281.68,16857919120.8615,59847767.3986848,260269.1197852,26205.3077852,7274085558.59849,0.0861501756191974
"76","Tehran",2001,1,4.22672420362966e-08,0.000901808280759074,0.750000002580497,NA,Inf,Inf,2452.9818624,2452.9818624,1695409544.67191,0.000230267917267917
"77","Tehran",2006,1.85256493223413,2.21295631218206e-06,0.0302864154774756,0.749999992570982,NA,Inf,Inf,43273.2453837,43273.2453837,1766837660.77596,0.00805861423761424
"78","Tehran",2011,0.982463587350232,7.70540990928997e-06,0.0911737897930059,0.749999997751261,Inf,Inf,56422397.7260274,238014.4390297,234200.1890297,1945538031.55279,0.0267149093314093
"79","Tokyo",2001,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"80","Tokyo",2006,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"81","Tokyo",2011,1.51138106006125,2247.8270788183,0.0719182246926057,1,Inf,Inf,1.20007370748657,394388.91187,394388.91187,8372886509.15678,Inf
