"transp_tech","zone_start","zone_end","isTransp"
"pipe_hot_primary_feed","factory_blades","school",0.00
"pipe_hot_primary_feed","factory_blades","tech",0.00
"pipe_hot_primary_feed","hospital","dormitories",0.00
"pipe_hot_primary_feed","hospital","energyIsland",0.00
"pipe_hot_primary_feed","hospital","factory",0.00
"pipe_hot_primary_feed","hospital","factory_assembly",0.00
"pipe_hot_primary_feed","hospital","factory_blades",0.00
"pipe_hot_primary_feed","hospital","hospital",0.00
"pipe_hot_primary_feed","hospital","multifunction",0.00
"pipe_hot_primary_feed","hospital","northDistrict",0.00
"pipe_hot_primary_feed","hospital","quality",0.00
"pipe_hot_primary_feed","hospital","reserved",0.00
"pipe_hot_primary_feed","hospital","residential",0.00
"pipe_hot_primary_feed","hospital","school",0.00
"pipe_hot_primary_feed","hospital","tech",0.00
"pipe_hot_primary_feed","multifunction","dormitories",0.00
"pipe_hot_primary_feed","multifunction","energyIsland",0.00
"pipe_hot_primary_feed","multifunction","factory",0.00
"pipe_hot_primary_feed","multifunction","factory_assembly",0.00
"pipe_hot_primary_feed","multifunction","factory_blades",0.00
"pipe_hot_primary_feed","multifunction","hospital",0.00
"pipe_hot_primary_feed","multifunction","multifunction",0.00
"pipe_hot_primary_feed","multifunction","northDistrict",0.00
"pipe_hot_primary_feed","multifunction","quality",0.00
"pipe_hot_primary_feed","multifunction","reserved",0.00
"pipe_hot_primary_feed","multifunction","residential",0.00
"pipe_hot_primary_feed","multifunction","school",0.00
"pipe_hot_primary_feed","multifunction","tech",0.00
"pipe_hot_primary_feed","northDistrict","dormitories",0.00
"pipe_hot_primary_feed","northDistrict","energyIsland",0.00
"pipe_hot_primary_feed","northDistrict","factory",0.00
"pipe_hot_primary_feed","northDistrict","factory_assembly",0.00
"pipe_hot_primary_feed","northDistrict","factory_blades",0.00
"pipe_hot_primary_feed","northDistrict","hospital",0.00
"pipe_hot_primary_feed","northDistrict","multifunction",0.00
"pipe_hot_primary_feed","northDistrict","northDistrict",0.00
"pipe_hot_primary_feed","northDistrict","quality",0.00
"pipe_hot_primary_feed","northDistrict","reserved",0.00
"pipe_hot_primary_feed","northDistrict","residential",0.00
"pipe_hot_primary_feed","northDistrict","school",0.00
"pipe_hot_primary_feed","northDistrict","tech",0.00
"pipe_hot_primary_feed","quality","dormitories",0.00
"pipe_hot_primary_feed","quality","energyIsland",0.00
"pipe_hot_primary_feed","quality","factory",0.00
"pipe_hot_primary_feed","quality","factory_assembly",0.00
"pipe_hot_primary_feed","quality","factory_blades",0.00
"pipe_hot_primary_feed","quality","hospital",0.00
"pipe_hot_primary_feed","quality","multifunction",0.00
"pipe_hot_primary_feed","quality","northDistrict",0.00
"pipe_hot_primary_feed","quality","quality",0.00
"pipe_hot_primary_feed","quality","reserved",0.00
"pipe_hot_primary_feed","quality","residential",0.00
"pipe_hot_primary_feed","quality","school",0.00
"pipe_hot_primary_feed","quality","tech",0.00
"pipe_hot_primary_feed","reserved","dormitories",0.00
"pipe_hot_primary_feed","reserved","energyIsland",0.00
"pipe_hot_primary_feed","reserved","factory",0.00
"pipe_hot_primary_feed","reserved","factory_assembly",0.00
"pipe_hot_primary_feed","reserved","factory_blades",0.00
"pipe_hot_primary_feed","reserved","hospital",0.00
"pipe_hot_primary_feed","reserved","multifunction",0.00
"pipe_hot_primary_feed","reserved","northDistrict",0.00
"pipe_hot_primary_feed","reserved","quality",0.00
"pipe_hot_primary_feed","reserved","reserved",0.00
"pipe_hot_primary_feed","reserved","residential",0.00
"pipe_hot_primary_feed","reserved","school",0.00
"pipe_hot_primary_feed","reserved","tech",0.00
"pipe_hot_primary_feed","residential","dormitories",0.00
"pipe_hot_primary_feed","residential","energyIsland",0.00
"pipe_hot_primary_feed","residential","factory",0.00
"pipe_hot_primary_feed","residential","factory_assembly",0.00
"pipe_hot_primary_feed","residential","factory_blades",0.00
"pipe_hot_primary_feed","residential","hospital",0.00
"pipe_hot_primary_feed","residential","multifunction",0.00
"pipe_hot_primary_feed","residential","northDistrict",0.00
