"transp_tech","season","zone_start","zone_end","rate"
"pipe_gas","wint","hospital","factory_blades",0.00
"pipe_gas","sum","hospital","factory_blades",0.00
"pipe_gas","shoulder","hospital","factory_blades",0.00
"pipe_gas","wint","hospital","hospital",0.00
"pipe_gas","sum","hospital","hospital",0.00
"pipe_gas","shoulder","hospital","hospital",0.00
"pipe_gas","wint","hospital","multifunction",0.00
"pipe_gas","sum","hospital","multifunction",0.00
"pipe_gas","shoulder","hospital","multifunction",0.00
"pipe_gas","wint","hospital","northDistrict",0.00
"pipe_gas","sum","hospital","northDistrict",0.00
"pipe_gas","shoulder","hospital","northDistrict",0.00
"pipe_gas","wint","hospital","quality",0.00
"pipe_gas","sum","hospital","quality",0.00
"pipe_gas","shoulder","hospital","quality",0.00
"pipe_gas","wint","hospital","reserved",0.00
"pipe_gas","sum","hospital","reserved",0.00
"pipe_gas","shoulder","hospital","reserved",0.00
"pipe_gas","wint","hospital","residential",0.00
"pipe_gas","sum","hospital","residential",0.00
"pipe_gas","shoulder","hospital","residential",0.00
"pipe_gas","wint","hospital","school",0.00
"pipe_gas","sum","hospital","school",0.00
"pipe_gas","shoulder","hospital","school",0.00
"pipe_gas","wint","hospital","tech",0.00
"pipe_gas","sum","hospital","tech",0.00
"pipe_gas","shoulder","hospital","tech",0.00
"pipe_gas","wint","multifunction","dormitories",0.00
"pipe_gas","sum","multifunction","dormitories",0.00
"pipe_gas","shoulder","multifunction","dormitories",0.00
"pipe_gas","wint","multifunction","energyIsland",0.00
"pipe_gas","sum","multifunction","energyIsland",0.00
"pipe_gas","shoulder","multifunction","energyIsland",0.00
"pipe_gas","wint","multifunction","factory",0.00
"pipe_gas","sum","multifunction","factory",0.00
"pipe_gas","shoulder","multifunction","factory",0.00
"pipe_gas","wint","multifunction","factory_assembly",0.00
"pipe_gas","sum","multifunction","factory_assembly",0.00
"pipe_gas","shoulder","multifunction","factory_assembly",0.00
"pipe_gas","wint","multifunction","factory_blades",0.00
"pipe_gas","sum","multifunction","factory_blades",0.00
"pipe_gas","shoulder","multifunction","factory_blades",0.00
"pipe_gas","wint","multifunction","hospital",0.00
"pipe_gas","sum","multifunction","hospital",0.00
"pipe_gas","shoulder","multifunction","hospital",0.00
"pipe_gas","wint","multifunction","multifunction",0.00
"pipe_gas","sum","multifunction","multifunction",0.00
"pipe_gas","shoulder","multifunction","multifunction",0.00
"pipe_gas","wint","multifunction","northDistrict",0.00
"pipe_gas","sum","multifunction","northDistrict",0.00
"pipe_gas","shoulder","multifunction","northDistrict",0.00
"pipe_gas","wint","multifunction","quality",0.00
"pipe_gas","sum","multifunction","quality",0.00
"pipe_gas","shoulder","multifunction","quality",0.00
"pipe_gas","wint","multifunction","reserved",0.00
"pipe_gas","sum","multifunction","reserved",0.00
"pipe_gas","shoulder","multifunction","reserved",0.00
"pipe_gas","wint","multifunction","residential",0.00
"pipe_gas","sum","multifunction","residential",0.00
"pipe_gas","shoulder","multifunction","residential",0.00
"pipe_gas","wint","multifunction","school",0.00
"pipe_gas","sum","multifunction","school",0.00
"pipe_gas","shoulder","multifunction","school",0.00
"pipe_gas","wint","multifunction","tech",0.00
"pipe_gas","sum","multifunction","tech",0.00
"pipe_gas","shoulder","multifunction","tech",0.00
"pipe_gas","wint","northDistrict","dormitories",0.00
