"transp_tech","resource","season","zone","value"
"pipe_gas","biogas","wint","northDistrict",0.00
"pipe_gas","biogas","sum","northDistrict",0.00
"pipe_gas","biogas","shoulder","northDistrict",0.00
"pipe_gas","biogas","wint","quality",0.00
"pipe_gas","biogas","sum","quality",0.00
"pipe_gas","biogas","shoulder","quality",0.00
"pipe_gas","biogas","wint","reserved",0.00
"pipe_gas","biogas","sum","reserved",0.00
"pipe_gas","biogas","shoulder","reserved",0.00
"pipe_gas","biogas","wint","residential",0.00
"pipe_gas","biogas","sum","residential",0.00
"pipe_gas","biogas","shoulder","residential",0.00
"pipe_gas","biogas","wint","school",0.00
"pipe_gas","biogas","sum","school",0.00
"pipe_gas","biogas","shoulder","school",0.00
"pipe_gas","biogas","wint","tech",0.00
"pipe_gas","biogas","sum","tech",0.00
"pipe_gas","biogas","shoulder","tech",0.00
"pipe_gas","biomass","wint","dormitories",0.00
"pipe_gas","biomass","sum","dormitories",0.00
"pipe_gas","biomass","shoulder","dormitories",0.00
"pipe_gas","biomass","wint","energyIsland",0.00
"pipe_gas","biomass","sum","energyIsland",0.00
"pipe_gas","biomass","shoulder","energyIsland",0.00
"pipe_gas","biomass","wint","factory",0.00
"pipe_gas","biomass","sum","factory",0.00
"pipe_gas","biomass","shoulder","factory",0.00
"pipe_gas","biomass","wint","factory_assembly",0.00
"pipe_gas","biomass","sum","factory_assembly",0.00
"pipe_gas","biomass","shoulder","factory_assembly",0.00
"pipe_gas","biomass","wint","factory_blades",0.00
"pipe_gas","biomass","sum","factory_blades",0.00
"pipe_gas","biomass","shoulder","factory_blades",0.00
"pipe_gas","biomass","wint","hospital",0.00
"pipe_gas","biomass","sum","hospital",0.00
"pipe_gas","biomass","shoulder","hospital",0.00
"pipe_gas","biomass","wint","multifunction",0.00
"pipe_gas","biomass","sum","multifunction",0.00
"pipe_gas","biomass","shoulder","multifunction",0.00
"pipe_gas","biomass","wint","northDistrict",0.00
"pipe_gas","biomass","sum","northDistrict",0.00
"pipe_gas","biomass","shoulder","northDistrict",0.00
"pipe_gas","biomass","wint","quality",0.00
"pipe_gas","biomass","sum","quality",0.00
"pipe_gas","biomass","shoulder","quality",0.00
"pipe_gas","biomass","wint","reserved",0.00
"pipe_gas","biomass","sum","reserved",0.00
"pipe_gas","biomass","shoulder","reserved",0.00
"pipe_gas","biomass","wint","residential",0.00
"pipe_gas","biomass","sum","residential",0.00
"pipe_gas","biomass","shoulder","residential",0.00
"pipe_gas","biomass","wint","school",0.00
"pipe_gas","biomass","sum","school",0.00
