"resource","quality","season","zone","value"
"butanol","mass","shoulder","hospital",0.00
"butanol","mass","wint","multifunction",0.00
"butanol","mass","sum","multifunction",0.00
"butanol","mass","shoulder","multifunction",0.00
"butanol","mass","wint","northDistrict",0.00
"butanol","mass","sum","northDistrict",0.00
"butanol","mass","shoulder","northDistrict",0.00
"butanol","mass","wint","quality",0.00
"butanol","mass","sum","quality",0.00
"butanol","mass","shoulder","quality",0.00
"butanol","mass","wint","reserved",0.00
"butanol","mass","sum","reserved",0.00
"butanol","mass","shoulder","reserved",0.00
"butanol","mass","wint","residential",0.00
"butanol","mass","sum","residential",0.00
"butanol","mass","shoulder","residential",0.00
"butanol","mass","wint","school",0.00
"butanol","mass","sum","school",0.00
"butanol","mass","shoulder","school",0.00
"butanol","mass","wint","tech",0.00
"butanol","mass","sum","tech",0.00
"butanol","mass","shoulder","tech",0.00
"butanol","energy","wint","dormitories",0.00
