"resource","season","zone","imports","exports"
"algaeDry","sum","hospital",0.00,0.00
"algaeDry","shoulder","hospital",0.00,0.00
"algaeDry","wint","multifunction",0.00,0.00
"algaeDry","sum","multifunction",0.00,0.00
"algaeDry","shoulder","multifunction",0.00,0.00
"algaeDry","wint","northDistrict",0.00,0.00
"algaeDry","sum","northDistrict",0.00,0.00
"algaeDry","shoulder","northDistrict",0.00,0.00
"algaeDry","wint","quality",0.00,0.00
"algaeDry","sum","quality",0.00,0.00
"algaeDry","shoulder","quality",0.00,0.00
"algaeDry","wint","reserved",0.00,0.00
"algaeDry","sum","reserved",0.00,0.00
"algaeDry","shoulder","reserved",0.00,0.00
"algaeDry","wint","residential",0.00,0.00
"algaeDry","sum","residential",0.00,0.00
"algaeDry","shoulder","residential",0.00,0.00
"algaeDry","wint","school",0.00,0.00
"algaeDry","sum","school",0.00,0.00
"algaeDry","shoulder","school",0.00,0.00
"algaeDry","wint","tech",0.00,0.00
"algaeDry","sum","tech",0.00,0.00
"algaeDry","shoulder","tech",0.00,0.00
"ash","wint","dormitories",0.00,0.00
"ash","sum","dormitories",0.00,0.00
"ash","shoulder","dormitories",0.00,0.00
"ash","wint","energyIsland",0.00,0.00
"ash","sum","energyIsland",0.00,0.00
"ash","shoulder","energyIsland",0.00,0.00
"ash","wint","factory",0.00,0.00
"ash","sum","factory",0.00,0.00
"ash","shoulder","factory",0.00,0.00
"ash","wint","factory_assembly",0.00,0.00
"ash","sum","factory_assembly",0.00,0.00
"ash","shoulder","factory_assembly",0.00,0.00
"ash","wint","factory_blades",0.00,0.00
"ash","sum","factory_blades",0.00,0.00
"ash","shoulder","factory_blades",0.00,0.00
"ash","wint","hospital",0.00,0.00
"ash","sum","hospital",0.00,0.00
"ash","shoulder","hospital",0.00,0.00
"ash","wint","multifunction",0.00,0.00
"ash","sum","multifunction",0.00,0.00
"ash","shoulder","multifunction",0.00,0.00
"ash","wint","northDistrict",0.00,0.00
"ash","sum","northDistrict",0.00,0.00
"ash","shoulder","northDistrict",0.00,0.00
"ash","wint","quality",0.00,0.00
"ash","sum","quality",0.00,0.00
"ash","shoulder","quality",0.00,0.00
"ash","wint","reserved",0.00,0.00
"ash","sum","reserved",0.00,0.00
"ash","shoulder","reserved",0.00,0.00
"ash","wint","residential",0.00,0.00
"ash","sum","residential",0.00,0.00
"ash","shoulder","residential",0.00,0.00
"ash","wint","school",0.00,0.00
"ash","sum","school",0.00,0.00
"ash","shoulder","school",0.00,0.00
"ash","wint","tech",0.00,0.00
"ash","sum","tech",0.00,0.00
"ash","shoulder","tech",0.00,0.00
"biodiesel","wint","dormitories",0.00,0.00
"biodiesel","sum","dormitories",0.00,0.00
"biodiesel","shoulder","dormitories",0.00,0.00
"biodiesel","wint","energyIsland",0.00,0.00
"biodiesel","sum","energyIsland",0.00,0.00
"biodiesel","shoulder","energyIsland",0.00,0.00
"biodiesel","wint","factory",0.00,0.00
"biodiesel","sum","factory",0.00,0.00
"biodiesel","shoulder","factory",0.00,0.00
"biodiesel","wint","factory_assembly",0.00,0.00
"biodiesel","sum","factory_assembly",0.00,0.00
"biodiesel","shoulder","factory_assembly",0.00,0.00
"biodiesel","wint","factory_blades",0.00,0.00
"biodiesel","sum","factory_blades",0.00,0.00
"biodiesel","shoulder","factory_blades",0.00,0.00
"biodiesel","wint","hospital",0.00,0.00
"biodiesel","sum","hospital",0.00,0.00
"biodiesel","shoulder","hospital",0.00,0.00
"biodiesel","wint","multifunction",0.00,0.00
"biodiesel","sum","multifunction",0.00,0.00
"biodiesel","shoulder","multifunction",0.00,0.00
"biodiesel","wint","northDistrict",0.00,0.00
"biodiesel","sum","northDistrict",0.00,0.00
"biodiesel","shoulder","northDistrict",0.00,0.00
"biodiesel","wint","quality",0.00,0.00
"biodiesel","sum","quality",0.00,0.00
"biodiesel","shoulder","quality",0.00,0.00
"biodiesel","wint","reserved",0.00,0.00
"biodiesel","sum","reserved",0.00,0.00
"biodiesel","shoulder","reserved",0.00,0.00
