Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kenway, S.J., Turner, G.M., Cook, S., Baynes, T.","Water and energy futures for Melbourne: Implications of land use, water use, and water supply strategy",maybe,"Can't access full PDF. Modeling of different urban policites on water conservation, grid energy use, water supply energy demand. Recommedn managmenet measures, eg.g. “the combined management of water and energy...”",2014,Journal of Water and Climate Change,5,2,,163,175,,2,10.2166/wcc.2013.188,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902796624&partnerID=40&md5=34abb7ca19fed73c322a39492b746eeb,Article,Scopus,2-s2.0-84902796624
"Brewster, R.J.",Pathways to an oil-constrained sustainable city,maybe,Can't access paper. “conceptual framework model about the characteristics of an oil-constrained city … privdes the basis of a tool for integrating the effects of oil constraints into the urban metabolism for sustainable planning and development.” Assist the transformation of urban form.,2014,WIT Transactions on Ecology and the Environment,191,,,351,363,,,10.2495/SC140301,http://www.scopus.com/inward/record.url?eid=2-s2.0-84942083117&partnerID=40&md5=fe7de884e342dddbfc3f04ed5dba82da,Conference Paper,Scopus,2-s2.0-84942083117
"Prata, J., Arsenio, E., Pontes, J.P.","Moving towards the sustainable city: The role of electric vehicles, renewable energy and energy efficiency",maybe,"Can't access paper. “adapt the extended metabolism model of a city developed by Newman... and the material and energy flow accounting by Sheeri... to assess the future role of electric vehicles, renewable energy use for mobility needs and energy efficiency increases for households...”",2014,WIT Transactions on Ecology and the Environment,179 VOLUME 2,,,871,883,,,10.2495/SC130742,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896101401&partnerID=40&md5=df40eedd33ed35ba843a3d35ca7b14c3,Conference Paper,Scopus,2-s2.0-84896101401
"Eisele, W.L., Fossett, T., Schrank, D.L., Farzaneh, M., Meier, P.J., Williams, S.R.",Greenhouse gas emissions and urban congestion: Incorporation of carbon dioxide emissions and associated fuel consumption into Texas A&M Transportation Institute Urban Mobility Report,cut,cut,2014,Transportation Research Record,2427,,,73,82,,,10.3141/2427-08,http://www.scopus.com/inward/record.url?eid=2-s2.0-84938530740&partnerID=40&md5=db0c2d14581c63b8a6bca1e0bcd96551,Review,Scopus,2-s2.0-84938530740
"Silva-Junior, E.F., Moulton, T.P., Boëchat, I.G., Gücker, B.",Leaf decomposition and ecosystem metabolism as functional indicators of land use impacts on tropical streams,cut,cut,2014,Ecological Indicators,36,,,195,204,,14,10.1016/j.ecolind.2013.07.027,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883345367&partnerID=40&md5=636f0a7308bcb49b9ef10a0b34475014,Article,Scopus,2-s2.0-84883345367
"Behzadian, K., Kapelan, Z., Morley, M.S.",Resilience-based performance assessment of water-recycling schemes in urban water systems,keep,"“A city metabolism model, WaterMet2, is used toevaluate the perfrmance of water reuce systems”: evolutionary algorithms to identify optimal solutions for resiliecne, reliability and total cost. Uses various hydraulic performance indicators. “conceptually-based mdoel which evaluates the performance of an integrated UWS over a long-term planning horizon... quantifies the principal water-related flows and toher metabolism-based vluxes in the UWS such as materials, chimicals, energy and greenhouse gas emissions”",2014,Procedia Engineering,89,,,719,726,,3,10.1016/j.proeng.2014.11.499,http://www.scopus.com/inward/record.url?eid=2-s2.0-84949115449&partnerID=40&md5=9e102cf32484986ca00b5b5ee7abb72a,Conference Paper,Scopus,2-s2.0-84949115449
"Hoellein, T.J., Zarnoch, C.B.",Effect of eastern oysters (Crassostrea virginica) on sediment carbon and nitrogen dynamics in an urban estuary,cut,cut,2014,Ecological Applications,24,2,,271,286,,8,10.1890/12-1798.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899511752&partnerID=40&md5=6881053875d04efcb3bf0f2704e4ca99,Article,Scopus,2-s2.0-84899511752
[No author name available],"3rd International Conference on Energy and Environmental Protection, ICEEP 2014",cut,ignore,2014,Advanced Materials Research,962-965,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84904119124&partnerID=40&md5=7eef2956849708079868e594f92b0145,Conference Review,Scopus,2-s2.0-84904119124
"Soltis, N.E., Gomez, S., Leisk, G.G., Sherwood, P., Preisser, E.L., Bonello, P., Orians, C.M.",Failure under stress: The effect of the exotic herbivore Adelges tsugae on biomechanics of Tsuga canadensis,cut,cut,2014,Annals of Botany,113,4,,721,730,,2,10.1093/aob/mct286,http://www.scopus.com/inward/record.url?eid=2-s2.0-84895813819&partnerID=40&md5=591bd22e7b89e3fb0eb9a7ea38a00247,Article,Scopus,2-s2.0-84895813819
"Song, T., Cai, J.-M., Chahine, T., Deng, Y.",Urban metabolism model based on the emergy theory - A case study of 31 Chinese cities,maybe,can't access paper. Looks more like accounting than modelling.,2013,"Journal of Food, Agriculture and Environment",11,3-4,,2353,2361,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891942678&partnerID=40&md5=f53f49a2a109b9ee2e110a9e4f977547,Article,Scopus,2-s2.0-84891942678
