Authors,Title,status,notes,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, J., Zhang, Y., Yang, Z.",Ecological network analysis of an urban energy metabolic system,keep,ENA proposed for cities. 17 sectors.,2011,Stochastic Environmental Research and Risk Assessment,25,5,,685,695,,4,10.1007/s00477-011-0474-8,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958696651&partnerID=40&md5=767dd89f522dcea22dcb32d555fc5572,Article,Scopus,2-s2.0-79958696651
"Palmquist, K., Fairbrother, A., Salatas, J., Guiney, P.D.",Environmental fate of pyrethroids in urban and suburban stream sediments and the appropriateness of Hyalella azteca model in determining ecological risk,keep,cut,2011,Integrated Environmental Assessment and Management,7,3,,325,335,,8,10.1002/ieam.162,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052332173&partnerID=40&md5=d8991464c3f1b8581023dd564ab9dcbd,Article,Scopus,2-s2.0-80052332173
"Cabral, D.C.",Von thünen and wood supply of pre-industrial urban centers [Von thünen e o abastecimento madeireiro de centros urbanos pré-industriais],cut,"Cut – looks interesting, but not English.",2011,Revista Brasileira de Estudos de Populacao,28,2,,405,427,,,10.1590/S0102-30982011000200010,http://www.scopus.com/inward/record.url?eid=2-s2.0-84855874621&partnerID=40&md5=0c67ac6dd1fa54ba42a82b139d9dfb24,Article,Scopus,2-s2.0-84855874621
"Liang, S., Zhang, T.",Urban metabolism in China achieving dematerialization and decarbonization in Suzhou,keep,"driving force—pressure—state—response (DSPR) model to propose “a framework for sustainable urban management and policy assessment”. E.g. % changes in water consumption and waste generation after policies. f(socioeconomic development, environmental limits), allocate materials between sectors (“dividing the urban economic system into serveral categories of sectors...” Requires MFA for data.",2011,Journal of Industrial Ecology,15,3,,420,434,,22,10.1111/j.1530-9290.2011.00343.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958012665&partnerID=40&md5=69e2bb383c28675e2854486ff43be75f,Article,Scopus,2-s2.0-79958012665
"Liang, S., Zhang, T.",Managing urban energy system: A case of Suzhou in China,keep,"energy input-output model + carbon emission pinch analysis. Predict and optimize key sectors under emissions constraints. Energy metabolism scenarios = f(final demands, total energy outouts, generalized row model, technology development)",2011,Energy Policy,39,5,,2910,2918,,19,10.1016/j.enpol.2011.02.069,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953324885&partnerID=40&md5=dd0a28b9a86826cb1f0d408483be12f9,Article,Scopus,2-s2.0-79953324885
"Pandis Iverot, S., Brandt, N.","The development of a sustainable urban district in Hammarby Sjöstad, Stockholm, Sweden?",cut,Cut. Not “model” in the sense that I'm using it.,2011,"Environment, Development and Sustainability",,,,1,22,,,10.1007/s10668-011-9304-x,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955112760&partnerID=40&md5=d194437ffdeb9a54f72ae4da966bd0b9,Article in Press,Scopus,2-s2.0-79955112760
"Pataki, D.E., McCarthy, H.R., Litvak, E., Pincetl, S.",Transpiration of urban forests in the Los Angeles metropolitan area,cut,"Cut. Interesting, but not in the context of urban metabolism.",2011,Ecological Applications,21,3,,661,677,,33,10.1890/09-1717.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953039514&partnerID=40&md5=a6aed3aaaf40d655be231a4585659334,Article,Scopus,2-s2.0-79953039514
"Barac, M.",Place resists: Grounding African urban order in an age of global change,cut,"Cut.Interesting, but not modelling. Can't access full artice.",2011,Social Dynamics,37,1,,24,42,,,10.1080/02533952.2011.569995,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957810568&partnerID=40&md5=a61430560cbab9890f812b945a3dfe45,Article,Scopus,2-s2.0-79957810568
"Buccola, N., Spolek, G.","A pilot-scale evaluation of greenroof runoff retention, detention, and quality",cut,Cut. Not really metabolism or modelling.,2011,"Water, Air, and Soil Pollution",216,1-4,,83,92,,16,10.1007/s11270-010-0516-8,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951942999&partnerID=40&md5=afbaa5b57e017953ad97434a50bac345,Article,Scopus,2-s2.0-79951942999
"Gholami, S., Daryani, A., Sharif, M., Amouei, A., Mobedi, I.","Seroepidemiological survey of helminthic parasites of stray dogs in Sari City, Northern Iran",cut,Cut,2011,Pakistan Journal of Biological Sciences,14,2,,133,137,,7,10.3923/pjbs.2011.133.137,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951570855&partnerID=40&md5=007d669dd7c6096d97ccb0a48e9ef949,Article,Scopus,2-s2.0-79951570855
"Li, Y., Li, C., Zheng, Y., Wu, G., Wuyun, T., Xu, H., He, X., Jiang, G.",Cadmium pollution enhanced ozone damage to winter wheat: Biochemical and physiological evidences,cut,Cut,2011,Journal of Environmental Sciences,23,2,,255,265,,9,10.1016/S1001-0742(10)60400-7,http://www.scopus.com/inward/record.url?eid=2-s2.0-79551676579&partnerID=40&md5=21ca34f2dc2e03cecba073ec002d57c6,Article,Scopus,2-s2.0-79551676579
"Rangan, A.M., Flood, V.M., Gill, T.P.","Misreporting of energy intake in the 2007 Australian children's survey: Identification, characteristics and impact of misreporters",cut,Cut,2011,Nutrients,3,2,,186,199,,17,10.3390/nu3020186,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952063119&partnerID=40&md5=944b8d5219ab7275f9602d00d1987559,Article,Scopus,2-s2.0-79952063119
"Tang, Z., Wei, T.",The history and evolution of Eco-city and green community,cut,Can't find,2011,Eco-City and Green Community: The Evolution of Planning Theory and Practice,,,,11,35,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892241626&partnerID=40&md5=0f181e30a104a4376441cad7124020e6,Book Chapter,Scopus,2-s2.0-84892241626
"Ye, H., Wang, K., Zhao, X., Chen, F., Li, X., Pan, L.",Relationship between construction characteristics and carbon emissions from urban household operational energy usage,keep,"Relationship between residential emissions and home operations/building characteristics. General linear model univeriate regressions (e.g. to inform designs, e.g. energay-saving materials for biulding walls)",2011,Energy and Buildings,43,1,,147,152,,12,10.1016/j.enbuild.2010.09.002,http://www.scopus.com/inward/record.url?eid=2-s2.0-78049466663&partnerID=40&md5=0aaff6917c6555657fc62f187345ab6f,Article,Scopus,2-s2.0-78049466663
"Urabe, J., Iwata, T., Yagami, Y., Kato, E., Suzuki, T., Hino, S., Ban, S.",Within-lake and watershed determinants of carbon dioxide in surface water: A comparative analysis of a variety of lakes in the Japanese Islands,cut,Cut,2011,Limnology and Oceanography,56,1,,49,60,,9,10.4319/lo.2011.56.1.0049,http://www.scopus.com/inward/record.url?eid=2-s2.0-78651392872&partnerID=40&md5=0904be322942fb22bfac6a31d705f117,Article,Scopus,2-s2.0-78651392872
"Upadhyaya, J., Tam, E.K.L., Biswas, N.","Process, Resource, People and Change (PRPC) approach to city infrastructure sustainability in context of climate change",maybe,"Can't access, but could be relevant",2010,"Proceedings, Annual Conference - Canadian Society for Civil Engineering",1,,,287,296,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650480375&partnerID=40&md5=4233a1e5ffb7d4c9043c4f86aaca6088,Conference Paper,Scopus,2-s2.0-78650480375
"Liu, G., Yang, Z., Chen, B.","Extended exergy-based urban ecosystem network analysis: A case study of Beijing, China",keep,"Exergy-based ENA for “evaluation, policy-making and regulations for ecosystem management concerning structure and efficiency at urban levels.”",2010,Procedia Environmental Sciences,2,,,243,251,,5,10.1016/j.proenv.2010.10.029,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951800740&partnerID=40&md5=bca7385c38cf72e10577b5cb8327129d,Conference Paper,Scopus,2-s2.0-79951800740
"Chen, S., Fath, B.D., Chen, B.",Information indices from ecological network analysis for urban metabolic system,keep,ENA-based indicators which reflect an area's sustainability,2010,Procedia Environmental Sciences,2,,,720,724,,9,10.1016/j.proenv.2010.10.082,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951791483&partnerID=40&md5=08c5c376f0a8eb5f3209013997312b5d,Conference Paper,Scopus,2-s2.0-79951791483
"Zhang, Y., Zhang, J., Yang, Z.",Network relationship analysis of urban energy metabolic system,keep,"ENA to inform where changes should be made between sectors, e.g. more links to energy recovery sector.",2010,Procedia Environmental Sciences,2,,,1407,1412,,,10.1016/j.proenv.2010.10.153,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951803556&partnerID=40&md5=9d6872ce35357388586ad9fd40234dd1,Conference Paper,Scopus,2-s2.0-79951803556
"Nicola, D.A., Rosen, M.A., Bulucea, C.A., Brandusa, C.",Some sustainability aspects of energy conversion in urban electric trains,cut,"Cut. Models urban electric trains (for sustainability insights), but not UM more generally.",2010,Sustainability,2,5,,1389,1407,,7,10.3390/su2051389,http://www.scopus.com/inward/record.url?eid=2-s2.0-84867146805&partnerID=40&md5=543bee7aac8deba8289370bdf55ad5d2,Article,Scopus,2-s2.0-84867146805
"Páez, A.",Energy-urban transition: The Mexican case,cut,Cut. (Though interesting.),2010,Energy Policy,38,11,,7226,7234,,4,10.1016/j.enpol.2010.07.053,http://www.scopus.com/inward/record.url?eid=2-s2.0-77957302242&partnerID=40&md5=6a26431de43df89c254f162119db9819,Article,Scopus,2-s2.0-77957302242
"Chen, Y.","Ecophysiological responses of winter wheat seedling to aerosol wet deposition of Xi'an area, China",cut,Cut,2010,Journal of Environmental Sciences,22,11,,1786,1791,,,10.1016/S1001-0742(09)60320-X,http://www.scopus.com/inward/record.url?eid=2-s2.0-78349246690&partnerID=40&md5=f319e5d61879493b7bcf62b0e58ba9de,Article,Scopus,2-s2.0-78349246690
"Spiegelhalter, T., Arch, R.A.",Biomimicry and circular metabolism for the cities of the future,cut,"Cut. Interesting, but not modelling.",2010,WIT Transactions on Ecology and the Environment,129,,,215,226,,2,10.2495/SC100191,http://www.scopus.com/inward/record.url?eid=2-s2.0-77958188792&partnerID=40&md5=0c59ac7298515e0190423599ffee9988,Conference Paper,Scopus,2-s2.0-77958188792
"Bernot, M.J., Sobota, D.J., Hall, R.O., Mulholland, P.J., Dodds, W.K., Webster, J.R., Tank, J.L., Ashkenas, L.R., Cooper, L.W., Dahm, C.N., Gregory, S.V., Grimm, N.B., Hamilton, S.K., Johnson, S.L., McDowell, W.H., Meyer, J.L., Peterson, B., Poole, G.C., Maurice Valett, H.M., Arango, C., Beaulieu, J.J., Burgin, A.J., Crenshaw, C., Helton, A.M., Johnson, L., Merriam, J., Niederlehner, B.R., O'Brien, J.M., Potter, J.D., Sheibley, R.W., Thomas, S.M., Wilson, K.",Inter-regional comparison of land-use effects on stream metabolism,cut,Cut. Irrelevant,2010,Freshwater Biology,55,9,,1874,1890,,100,10.1111/j.1365-2427.2010.02422.x,http://www.scopus.com/inward/record.url?eid=2-s2.0-77955814652&partnerID=40&md5=661505b9778247b1c4d87555ef93c2b3,Article,Scopus,2-s2.0-77955814652
"Zhang, Y., Yang, Z., Fath, B.D., Li, S.","Ecological network analysis of an urban energy metabolic system: Model development, and a case study of four Chinese cities",keep,ENA “revealed ways to optimize its structure by adjusting the relationships among compartments...”,2010,Ecological Modelling,221,16,,1865,1879,,33,10.1016/j.ecolmodel.2010.05.006,http://www.scopus.com/inward/record.url?eid=2-s2.0-77954030425&partnerID=40&md5=ac058cbca7833b4ba064c9d8073d8263,Article,Scopus,2-s2.0-77954030425
"Faure, V., Pinazo, C., Torréton, J.-P., Douillet, P.",Modelling the spatial and temporal variability of the SW lagoon of New Caledonia II: Realistic 3D simulations compared with in situ data,cut,Cut,2010,Marine Pollution Bulletin,61,7-12,,480,502,,11,10.1016/j.marpolbul.2010.06.040,http://www.scopus.com/inward/record.url?eid=2-s2.0-77956011065&partnerID=40&md5=7863f01e6777214b55c96e583beeaf87,Article,Scopus,2-s2.0-77956011065
"Horta-Bernús, R., Rosas-Casals, M., Valverde, S.",Discerning electricity consumption patterns from urban allometric scaling,keep,"Scaling laws to quantify urban electricity consumption amongs five sectors (e.g. household, total etc.). Could be useful to develop predictive theories. Not on urban metabolism more generally.",2010,COMPENG 2010 - Complexity in Engineering,,,5432912,49,51,,2,10.1109/COMPENG.2010.29,http://www.scopus.com/inward/record.url?eid=2-s2.0-77952174648&partnerID=40&md5=b69a28295985dcc6db5a1a5d16a48c38,Conference Paper,Scopus,2-s2.0-77952174648
"Liu, Y., Wang, W., Li, X., Zhang, G.","Eco-efficiency of urban material metabolism: A case study in Xiamen, China",maybe,Could be relevant – look up more about DEA modelling,2010,International Journal of Sustainable Development and World Ecology,17,2,,142,148,,4,10.1080/13504501003603223,http://www.scopus.com/inward/record.url?eid=2-s2.0-84862908672&partnerID=40&md5=d9d295465405832f6320109f4dba932b,Article,Scopus,2-s2.0-84862908672
"García-Luque, E., González-Mazo, E., Lara-Martín, P., Forja, J.M., Gómez-Parra, A.",Aerobic biodegradation of linear alkylbenzene sulfonates and sulfophenylcarboxylic acids for different salinity values by means of continuous assays,cut,Cut,2010,Environmental Monitoring and Assessment,162,1-4,,417,425,,,10.1007/s10661-009-0806-z,http://www.scopus.com/inward/record.url?eid=2-s2.0-76449114580&partnerID=40&md5=29f75f4cf6d5242d72669c62c9bfd678,Article,Scopus,2-s2.0-76449114580
"Ebbs, S., Hatfield, S., Nagarajan, V., Blaylock, M.",A comparison of the dietary arsenic exposures from ingestion of contaminated soil and hyperaccumulating pteris ferns used in a residential phytoremediation project,cut,cut,2010,International Journal of Phytoremediation,12,1,,121,132,,5,10.1080/15226510902861784,http://www.scopus.com/inward/record.url?eid=2-s2.0-77649121597&partnerID=40&md5=53e49875cd6d456757f38bf49bed69d4,Article,Scopus,2-s2.0-77649121597
"Villarroel Walker, R., Jiang, F., Osidele, O.O., Beck, M.B.","Eco-effectiveness, eco-efficiency, and the metabolism of a city: A multi-sectoral analysis",keep,"Flow diagrams for each sector, representing flows and resources of interest, to enable substance flow analysis for each sector.] for H20, N, C and P, from which mathematical equations define indicators. Can identify main flows of N (e.g.) (animal feed and fossil fuels), from case study. Can then inform sustainability reporting, research priorities and technology options.",2009,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",,,5346300,1470,1475,,,10.1109/ICSMC.2009.5346300,http://www.scopus.com/inward/record.url?eid=2-s2.0-74849129562&partnerID=40&md5=86077b322efcd5bd2ca3391daee9f6fb,Conference Paper,Scopus,2-s2.0-74849129562
"Špes, M.",A town as an ecosystem [Mesto kot ekosistem],cut,Cut. Can't access English version,2009,Dela,31,,,5,20,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79551483441&partnerID=40&md5=27b6e3ae058ed8c9f96244af1488d551,Article,Scopus,2-s2.0-79551483441
"Chen, L.-X., Li, Z.-D., Zhang, Z.-Q., Zhang, W.-J., Zhang, X.-F., Dong, K.-Y., Wang, G.-Y.",Environmental responses of four urban tree species transpiration in northern China,cut,Cut,2009,Chinese Journal of Applied Ecology,20,12,,2861,2870,,2,,http://www.scopus.com/inward/record.url?eid=2-s2.0-76749103486&partnerID=40&md5=ee734638f1a8c689f24e12b797501abc,Article,Scopus,2-s2.0-76749103486
"Lee, C.-L., Huang, S.-L., Chan, S.-L.",Synthesis and spatial dynamics of socio-economic metabolism and land use change of Taipei Metropolitan Region,keep,"“simulate the spatial-temporal dynamics of socio-economic metabolism and land use change, this study adopts a spatial system modeling method...” (for the Taipei region). Identifies dependencies on nonrenewable energy inputs, centred on Taipie's Main station. ArcGIS software. Energy system components (e.g. source, storage) given mathematics meanings which can be “transferred into system equations”. Spatial system modelling with GIS with data and maps. Model can be validated. To identify “interaction mechanisms between socio-economic metabolism and land use change...”. Explanatory model. Asset stock reaches upper limit, so some outflow to surrounding areas, triggering land use change, resulting in more waste emissions and attracting more nonrenewables. Such convergence and divergence continues until stabilisation, where an “urban heirarchical pattern” emerges.",2009,Ecological Modelling,220,21,,2940,2959,,21,10.1016/j.ecolmodel.2009.06.021,http://www.scopus.com/inward/record.url?eid=2-s2.0-70350075217&partnerID=40&md5=e32e3d3d8ea4ebe9576eb49f70427154,Article,Scopus,2-s2.0-70350075217
"Browne, D., O'Regan, B., Moles, R.",Assessment of total urban metabolism and metabolic inefficiency in an Irish city-region,cut,"Cut. Just accounting, not modelling.",2009,Waste Management,29,10,,2765,2771,,22,10.1016/j.wasman.2009.05.008,http://www.scopus.com/inward/record.url?eid=2-s2.0-68049101205&partnerID=40&md5=f2e31b85d129d51eb62581b2c27c744b,Article,Scopus,2-s2.0-68049101205
"Johnston, C.A., Zedler, J.B., Tulbure, M.G., Frieswyk, C.B., Bedford, B.L., Vaccaro, L.",A unifying approach for evaluating the condition of wetland plant communities and identifying related stressors,cut,Cut,2009,Ecological Applications,19,7,,1739,1757,,21,10.1890/08-1290.1,http://www.scopus.com/inward/record.url?eid=2-s2.0-70349305216&partnerID=40&md5=ab10d0caf836183d5ee87e3787d14240,Article,Scopus,2-s2.0-70349305216
"Su, M.-R., Yang, Z.-F., Chen, B.",Set pair analysis for urban ecosystem health assessment based on emergy-vitality index,cut,"Cut. Indicator, not modelling. (Not English)",2009,Zhongguo Huanjing Kexue/China Environmental Science,29,8,,892,896,,1,,http://www.scopus.com/inward/record.url?eid=2-s2.0-70249131824&partnerID=40&md5=95d1c43c3dba5c43784c630f7d47a12b,Article,Scopus,2-s2.0-70249131824
"Zhang, Y., Yang, Z., Yu, X.","Ecological network and emergy analysis of urban metabolic systems: Model development, and a case study of four Chinese cities",keep,Emergy-based ENA. Analyse structure of metabolic system to suggest how to optimize it.,2009,Ecological Modelling,220,11,,1431,1442,,51,10.1016/j.ecolmodel.2009.02.001,http://www.scopus.com/inward/record.url?eid=2-s2.0-64949133994&partnerID=40&md5=4f1c89b2594f0ee9714bffcdbaf3ca30,Article,Scopus,2-s2.0-64949133994
"Laukkanen, M., Ekholm, P., Huhtala, A., Pitkanen, H., Kiirikki, M., Rantanen, P., Inkala, A.",Integrating ecological and economic modeling of eutrophication: Toward optimal solutions for a coastal area suffering from sediment release of phosphorus,cut,Cut,2009,Ambio,38,4,,225,235,,7,10.1579/0044-7447-38.4.225,http://www.scopus.com/inward/record.url?eid=2-s2.0-68649112895&partnerID=40&md5=80de8798ca470caeb17ca9572831de4d,Article,Scopus,2-s2.0-68649112895
"Holy, M., Leblond, S., Pesch, R., Schröder, W.",Assessing spatial patterns of metal bioaccumulation in French mosses by means of an exposure index,cut,Cut,2009,Environmental Science and Pollution Research,16,5,,499,507,,16,10.1007/s11356-009-0146-0,http://www.scopus.com/inward/record.url?eid=2-s2.0-70349581494&partnerID=40&md5=a9e349ad48e44368b130f87d9dff7d5e,Article,Scopus,2-s2.0-70349581494
"Hall Jr., R.O., Tank, J.L., Sobota, D.J., Mulholland, P.J., O'Brien, J.M., Dodds, W.K., Webster, J.R., Valett, H.M., Poole, G.C., Peterson, B.J., Meyer, J.L., McDowell, W.H., Johnson, S.L., Hamilton, S.K., Grimm, N.B., Gregory, S.V., Dahm, C.N., Cooper, L.W., Ashkenas, L.R., Thomas, S.M., Sheibley, R.W., Potter, J.D., Niederlehner, B.R., Johnson, L.T., Helton, A.M., Crenshaw, C.M., Burgin, A.J., Bernot, M.J., Beaulieu, J.J., Arangob, C.P.",Nitrate removal in stream ecosystems measured by 15N addition experiments: Total uptake,cut,Cut,2009,Limnology and Oceanography,54,3,,653,665,,60,,http://www.scopus.com/inward/record.url?eid=2-s2.0-62149105320&partnerID=40&md5=b62f3528d4a174cbfc7e0a0fc31dc681,Article,Scopus,2-s2.0-62149105320
"Tupe, R., Chiplonkar, S.A., Kapadia-Kundu, N.",Influence of dietary and socio-demographic factors on the iron status of married adolescent girls from Indian urban slums,cut,Cut,2009,International Journal of Food Sciences and Nutrition,60,1,,51,59,,7,10.1080/09637480701599892,http://www.scopus.com/inward/record.url?eid=2-s2.0-58649123622&partnerID=40&md5=102f50ccb72cc94cf5e68f42dedbe950,Article,Scopus,2-s2.0-58649123622
"Liu, W.-C., Cai, J.-J., Liu, F.",An analysis of urban eco-industrial system and its metabolism,maybe,"Can't access, but could be relevant",2008,"Proceedings of the 2008 Global Symposium on Recycling, Waste Treatment and Clean Technology, REWAS 2008",,,,1451,1459,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-62449205565&partnerID=40&md5=cf35aea36e19255382559b152f8be9f6,Conference Paper,Scopus,2-s2.0-62449205565
"Thornton, I., Farago, M.E., Thums, C.R., Parrish, R.R., McGill, R.A.R., Breward, N., Fortey, N.J., Simpson, P., Young, S.D., Tye, A.M., Crout, N.M.J., Hough, R.L., Watt, J.",Urban geochemistry: Research strategies to assist risk assessment and remediation of brownfield sites in urban areas,cut,Cut. Urban geochemistry.,2008,Environmental Geochemistry and Health,30,6,,565,576,,28,10.1007/s10653-008-9182-9,http://www.scopus.com/inward/record.url?eid=2-s2.0-55649084366&partnerID=40&md5=a4dbb8183e81a192790c6977f113c6ce,Conference Paper,Scopus,2-s2.0-55649084366
"Andrews, C.J.",Energy conversion goes local: Implications for planners,cut,Cut (interesting: network models for energy planning) “Forward-looking conceptual framework for thinking about energy that relies on network models of complex systems”. Not so much about UM.,2008,Journal of the American Planning Association,74,2,,231,254,,9,10.1080/01944360801993531,http://www.scopus.com/inward/record.url?eid=2-s2.0-57049158548&partnerID=40&md5=146f18ed5161bf6b9556bf30afaed654,Article,Scopus,2-s2.0-57049158548
"Manning, W.J.",Plants in urban ecosystems: Essential role of urban forests in urban metabolism and succession toward sustainability,keep,"Overview of computer models predice effect of urban trees on metaoblism (runoff, water pollution, heat island, CO2 mitigation etc.) Various methods, e.g. imaging,",2008,International Journal of Sustainable Development and World Ecology,15,4,,362,370,,10,10.3843/SusDev.15.4:12,http://www.scopus.com/inward/record.url?eid=2-s2.0-51949112659&partnerID=40&md5=22c286c375cbfa0097b0692d6f86e2d6,Article,Scopus,2-s2.0-51949112659
"Khan, S., Cao, Q., Lin, A.-J., Zhu, Y.-G.",Concentrations and bioaccessibility of polycyclic aromatic hydrocarbons in wastewater-irrigated soil using in vitro gastrointestinal test,cut,Cut,2008,Environmental Science and Pollution Research,15,4,,344,353,,28,10.1007/s11356-008-0004-5,http://www.scopus.com/inward/record.url?eid=2-s2.0-45849113248&partnerID=40&md5=3be167fd696cbd24fff51b3f38ccb4e4,Article,Scopus,2-s2.0-45849113248
"Lee, C.-L., Huang, S.-L., Chan, S.-L.",Biophysical and system approaches for simulating land-use change,keep,"Simulate land-use change using GIS to model a spatial system (socioeconomic metabolism), based on biophysical flows. How sotcks and flows affect land-use, using a land-use map. (Similar to earlier article.)",2008,Landscape and Urban Planning,86,2,,187,203,,17,10.1016/j.landurbplan.2008.02.006,http://www.scopus.com/inward/record.url?eid=2-s2.0-42749088191&partnerID=40&md5=d1dea753a30fe3adb537856f9baee7db,Article,Scopus,2-s2.0-42749088191
"Moffatt, S., Kohler, N.",Conceptualizing the built environment as a social-ecological system,keep,"To understand managerial policy impacts, for long-term social-ecological systems. Only conceptual. Requires a combination of approahces (LCA, flows at different scales, aggragtation, etc.)",2008,Building Research and Information,36,3,,248,268,,47,10.1080/09613210801928131,http://www.scopus.com/inward/record.url?eid=2-s2.0-42149128263&partnerID=40&md5=a8a35fdc71b8ddea6b316d216ff4a2ad,Article,Scopus,2-s2.0-42149128263
"Triolo, L., Binazzi, A., Cagnetti, P., Carconi, P., Correnti, A., De Luca, E., Bonito, R., Grandoni, G., Mastrantonio, M., Rosa, S., Schimberni, M., Uccelli, R., Zappa, G.",Air pollution impact assessment on agroecosystem and human health characterisation in the area surrounding the industrial settlement of Milazzo (Italy): A multidisciplinary approach,cut,Cut. To specific remit (air pollution impacts on agriculture),2008,Environmental Monitoring and Assessment,140,1-3,,191,209,,13,10.1007/s10661-007-9859-z,http://www.scopus.com/inward/record.url?eid=2-s2.0-41749116126&partnerID=40&md5=8d99afeccd36f4b0f94ce9c1a1e9d3f7,Article,Scopus,2-s2.0-41749116126
"Levine, R.S., Hughes, M.T., Ryan Mather, C., Yanarella, E.J.",Generating sustainable towns from Chinese villages: A system modeling approach,keep,"Study a village to get “system dyamics models of a village's metabolism”, modified to replace unsustainable means with sustainabile means, which can then be enlarged through tiral iterationsk to see consequences of various processes. Incrementally enlarged and made more complext until “a modern, sustainable town or city” emerges. The system dynamics model istelsf: “current material, economic and energetic metabolism...embedded within a working systems model”, using relationships to relate households to villages as f(sotcks, flows, converters, connectors) (see Fig. 2). Run “what-if” scenarios.",2008,Journal of Environmental Management,87,2,,305,316,,4,10.1016/j.jenvman.2006.10.026,http://www.scopus.com/inward/record.url?eid=2-s2.0-40649087653&partnerID=40&md5=f0ebb4f17fad15f33bb04b794af4b9ba,Article,Scopus,2-s2.0-40649087653
"Vollertsen, J., Nielsen, A.H., Jensen, H.S., Hvitved-Jacobsen, T.",Modeling the formation and fate of odorous substances in collection systems,cut,Cut,2008,Water Environment Research,80,2,,118,126,,9,10.2175/106143007X220671,http://www.scopus.com/inward/record.url?eid=2-s2.0-43149096942&partnerID=40&md5=c0e9dc3bbff0cb8fe46ddc40f1163b92,Article,Scopus,2-s2.0-43149096942
"Moles, R., Foley, W., Morrissey, J., O'Regan, B.",Practical appraisal of sustainable development-Methodologies for sustainability measurement at settlement level,cut,"Cut. Models “settlement sustainability”, rather than metabolism, in relations to settlement size, class etc.",2008,Environmental Impact Assessment Review,28,2-3,,144,165,,19,10.1016/j.eiar.2007.06.003,http://www.scopus.com/inward/record.url?eid=2-s2.0-39649110139&partnerID=40&md5=3fb8de6e2dea7abc7977c6c7e038bbb3,Article,Scopus,2-s2.0-39649110139
"Zaggia, L., Rosso, J., Zonta, R.",Sulphate reduction in the sediment of the Venice canals (Italy),cut,Cut,2007,Marine Pollution Bulletin,55,10-12,,415,424,,2,10.1016/j.marpolbul.2007.09.004,http://www.scopus.com/inward/record.url?eid=2-s2.0-36549074121&partnerID=40&md5=41f21d88169b95172fbd2ec5be047281,Article,Scopus,2-s2.0-36549074121
"Ahranjani, P.M., Mochida, A., Yoshino, H., Haghighat, F.",Modeling LULC effect on the urban area of Ottawa City,cut,Cut – can't access.,2007,"IAQVEC 2007 Proceedings - 6th International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings: Sustainable Built Environment",3,,,481,486,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84857492386&partnerID=40&md5=38de9ebd03fa503b34a11e28019cf415,Conference Paper,Scopus,2-s2.0-84857492386
"Guo, Q.-H., Yang, L., Ma, K.-M.",L-THIA-based management design for controlling urban non-point source pollution,cut,"Cut – can't find article, and also borderline relevance",2007,Huanjing Kexue/Environmental Science,28,11,,2425,2431,,2,,http://www.scopus.com/inward/record.url?eid=2-s2.0-36549089024&partnerID=40&md5=7184e12413a0f7794cfaf382c7f70b3a,Article,Scopus,2-s2.0-36549089024
"Kim, O.-T., Bang, K.-H., Shin, Y.-S., Lee, M.-J., Jung, S.-J., Hyun, D.-Y., Kim, Y.-C., Seong, N.-S., Cha, S.-W., Hwang, B.",Enhanced production of asiaticoside from hairy root cultures of Centella asiatica (L.) Urban elicited by methyl jasmonate,cut,cut,2007,Plant Cell Reports,26,11,,1941,1949,,41,10.1007/s00299-007-0400-1,http://www.scopus.com/inward/record.url?eid=2-s2.0-35248863891&partnerID=40&md5=39002897d30a21ad8acdc90003e12036,Article,Scopus,2-s2.0-35248863891
"ZHANG, X.-b., LIU, P., YANG, Y.-s., CHEN, W.-r.",Phytoremediation of urban wastewater by model wetlands with ornamental hydrophytes,cut,cut,2007,Journal of Environmental Sciences,19,8,,902,909,,43,10.1016/S1001-0742(07)60150-8,http://www.scopus.com/inward/record.url?eid=2-s2.0-34547798915&partnerID=40&md5=9926f85fe427e05e08431db127a6500e,Article,Scopus,2-s2.0-34547798915
