"Authors","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Source","EID"
"Miao, J., Lu, H.-B., Habibi, D., Khiadani, M.H., Zhang, L.-C.","Photocatalytic Degradation of the Azo Dye Acid Red 14 in Nanosized TiO<inf>2</inf> Suspension under Simulated Solar Light",2015,"Clean - Soil, Air, Water",43,7,,1037,1043,,,"10.1002/clen.201400383","http://www.scopus.com/inward/record.url?eid=2-s2.0-84937517735&partnerID=40&md5=22f936f66000898c41000b28b9f1b76d","Article","Scopus","2-s2.0-84937517735"
"null","Biofuels",2010,"Green Energy and Technology",36,,,49,74,,,"10.1007/978-1-84996-050-2","http://www.scopus.com/inward/record.url?eid=2-s2.0-84883628959&partnerID=40&md5=bae69cb1423f9cf06e01370a448cc498","Article","Scopus","2-s2.0-84883628959"
"Zhao, J., Wang, D., Li, X., Yang, Q., Chen, H., Zhong, Y., An, H., Zeng, G.","An efficient process for wastewater treatment to mitigate free nitrous acid generation and its inhibition on biological phosphorus removal",2015,"Scientific Reports",5,,8602,,,,5,"10.1038/srep08602","http://www.scopus.com/inward/record.url?eid=2-s2.0-84923800993&partnerID=40&md5=21a16444a17d984a37a6bd0a5363dfa5","Article","Scopus","2-s2.0-84923800993"
"Muter, O.","Assessment of bioremediation strategies for explosives-contaminated sites",2014,"Environmental Science and Engineering (Subseries: Environmental Science)",2014,,,113,148,,,"10.1007/978-3-319-01083-0_6","http://www.scopus.com/inward/record.url?eid=2-s2.0-84930941776&partnerID=40&md5=58cd0e05934d4e63db83921677411fbd","Article","Scopus","2-s2.0-84930941776"
"Pu, J., Liu, G., Feng, X.","Cumulative exergy analysis of ice thermal storage air conditioning system",2012,"Applied Energy",93,,,564,569,,5,"10.1016/j.apenergy.2011.12.003","http://www.scopus.com/inward/record.url?eid=2-s2.0-84857998173&partnerID=40&md5=123fe5d52c2ba125e3d3843c5d46c431","Article","Scopus","2-s2.0-84857998173"
"Marugán, J., van Grieken, R., Cassano, A.E., Alfano, O.M.","Intrinsic kinetic modeling with explicit radiation absorption effects of the photocatalytic oxidation of cyanide with TiO2 and silica-supported TiO2 suspensions",2008,"Applied Catalysis B: Environmental",85,"1-2",,48,60,,34,"10.1016/j.apcatb.2008.06.026","http://www.scopus.com/inward/record.url?eid=2-s2.0-56749175126&partnerID=40&md5=987aa92c10ada5c4693e54fd722e7c75","Article","Scopus","2-s2.0-56749175126"
"Talamo, A.","A novel concept of QUADRISO particles - Part III: Applications to the plutonium-thorium fuel cycle",2009,"Progress in Nuclear Energy",51,2,,274,280,,7,"10.1016/j.pnucene.2008.09.005","http://www.scopus.com/inward/record.url?eid=2-s2.0-58349109235&partnerID=40&md5=fdda625e06431522d9958d5b08f1762f","Article","Scopus","2-s2.0-58349109235"
"Zhou, Y.-Y., Chen, D.-Z., Zhu, R.-Y., Chen, J.-M.","Substrate interactions during the biodegradation of BTEX and THF mixtures by Pseudomonas oleovorans DT4",2011,"Bioresource Technology",102,12,,6644,6649,,13,"10.1016/j.biortech.2011.03.076","http://www.scopus.com/inward/record.url?eid=2-s2.0-79955626197&partnerID=40&md5=8dc96caeb2ecf1aea50bebf75ae49779","Article","Scopus","2-s2.0-79955626197"
"Ghouas, H., Haddou, B., Bouabdesselam, H., Bouberka, Z., Derriche, Z.","Elimination of fuel spills from effluent using cloud point extraction methods",2010,"Journal of Hazardous Materials",180,"1-3",,188,196,,5,"10.1016/j.jhazmat.2010.04.012","http://www.scopus.com/inward/record.url?eid=2-s2.0-77953221839&partnerID=40&md5=62979f8c94fcd907cc254b06c342b76a","Article","Scopus","2-s2.0-77953221839"
"Lu, Z., Wang, R.","Novel adsorption refrigerators with separate type two phase closed thermosyphon designs",2015,"International Journal of Energy Research",39,12,,1681,1688,,,"10.1002/er.3375","http://www.scopus.com/inward/record.url?eid=2-s2.0-84940898758&partnerID=40&md5=4226cf2df38401d2022d2723a2f06954","Article","Scopus","2-s2.0-84940898758"
