"process","resource","season","zone","value"
"anaerobicFermentation","biogas","sum","residential",0.00
"anaerobicFermentation","biogas","shoulder","residential",0.00
"anaerobicFermentation","biogas","wint","school",0.00
"anaerobicFermentation","biogas","sum","school",0.00
"anaerobicFermentation","biogas","shoulder","school",0.00
"anaerobicFermentation","biogas","wint","tech",0.00
"anaerobicFermentation","biogas","sum","tech",0.00
"anaerobicFermentation","biogas","shoulder","tech",0.00
"anaerobicFermentation","biomass","wint","dormitories",0.00
"anaerobicFermentation","biomass","sum","dormitories",0.00
"anaerobicFermentation","biomass","shoulder","dormitories",0.00
"anaerobicFermentation","biomass","wint","energyIsland",0.00
"anaerobicFermentation","biomass","sum","energyIsland",0.00
"anaerobicFermentation","biomass","shoulder","energyIsland",0.00
"anaerobicFermentation","biomass","wint","factory",0.00
"anaerobicFermentation","biomass","sum","factory",0.00
"anaerobicFermentation","biomass","shoulder","factory",0.00
"anaerobicFermentation","biomass","wint","factory_assembly",0.00
"anaerobicFermentation","biomass","sum","factory_assembly",0.00
"anaerobicFermentation","biomass","shoulder","factory_assembly",0.00
"anaerobicFermentation","biomass","wint","factory_blades",0.00
"anaerobicFermentation","biomass","sum","factory_blades",0.00
"anaerobicFermentation","biomass","shoulder","factory_blades",0.00
"anaerobicFermentation","biomass","wint","hospital",0.00
"anaerobicFermentation","biomass","sum","hospital",0.00
"anaerobicFermentation","biomass","shoulder","hospital",0.00
"anaerobicFermentation","biomass","wint","multifunction",0.00
"anaerobicFermentation","biomass","sum","multifunction",0.00
"anaerobicFermentation","biomass","shoulder","multifunction",0.00
"anaerobicFermentation","biomass","wint","northDistrict",0.00
"anaerobicFermentation","biomass","sum","northDistrict",0.00
"anaerobicFermentation","biomass","shoulder","northDistrict",0.00
"anaerobicFermentation","biomass","wint","quality",0.00
"anaerobicFermentation","biomass","sum","quality",0.00
"anaerobicFermentation","biomass","shoulder","quality",0.00
"anaerobicFermentation","biomass","wint","reserved",0.00
"anaerobicFermentation","biomass","sum","reserved",0.00
"anaerobicFermentation","biomass","shoulder","reserved",0.00
"anaerobicFermentation","biomass","wint","residential",0.00
"anaerobicFermentation","biomass","sum","residential",0.00
"anaerobicFermentation","biomass","shoulder","residential",0.00
"anaerobicFermentation","biomass","wint","school",0.00
"anaerobicFermentation","biomass","sum","school",0.00
"anaerobicFermentation","biomass","shoulder","school",0.00
"anaerobicFermentation","biomass","wint","tech",0.00
"anaerobicFermentation","biomass","sum","tech",0.00
"anaerobicFermentation","biomass","shoulder","tech",0.00
